brand,store_name,full_address,city,state,zip,latitude,longitude
Anytime Spritz,Hi-Lo Liquor (LONG BEACH),"707 E Ocean Blvd #A, Long Beach, CA 90802",Long Beach,CA,90802,33.76629509,-118.18366828
Anytime Spritz,K & L Hollywood,"1400 Vine St, Hollywood, CA 90028",Hollywood,CA,90028,34.09645586,-118.32631939
Anytime Spritz,K&L Wine Merchants - Culver City,"4235 Sepulveda Blvd, Culver City, CA 90230",Culver City,CA,90230,34.00495571,-118.41091940
Anytime Spritz,Kings Row Gastropub,"20 E Colorado Blvd Suite 102, Pasadena, CA 91105",Pasadena,CA,91105,34.14568783,-118.14969619
Anytime Spritz,Larchmont Village Wine and Cheese,"223 N Larchmont Blvd, Los Angeles, CA 90004",Los Angeles,CA,90004,34.07535583,-118.32391939
Anytime Spritz,Little Dom's,"2128 Hillhurst Ave, Los Angeles, CA 90027",Los Angeles,CA,90027,34.11095589,-118.28721938
Anytime Spritz,Mikron Liquor,"631 Silver Lake Blvd, Los Angeles, CA 90026",Los Angeles,CA,90026,34.07955835,-118.27821938
Anytime Spritz,Momed Atwater Village,"3245 Casitas Ave, Los Angeles, CA 90039",Los Angeles,CA,90039,34.11585590,-118.25119374
Anytime Spritz,Osteria Mozza,"6602 Melrose Ave, Los Angeles, CA 90038",Los Angeles,CA,90038,34.08330600,-118.33860100
Anytime Spritz,Paloma,"600 S Venice Blvd, Venice, CA 90291",Venice,CA,90291,33.98895569,-118.46181941
Anytime Spritz,Pink Elephant Liquors,"1836 N Western Ave, Los Angeles, CA 90027",Los Angeles,CA,90027,34.10465588,-118.30901938
Anytime Spritz,Sage Vegan Bistro (Echo Park),"1700 Sunset Blvd, Los Angeles, CA 90026",Los Angeles,CA,90026,34.07715583,-118.25861938
Anytime Spritz,Sage Vegan Bistro (Pasadena),"41 Hugus Aly, Pasadena, CA 91103",Pasadena,CA,91103,34.14655595,-118.15119358
Anytime Spritz,Stanley's Wet Goods,"9620 Venice Blvd., Culver City, CA 90232",Culver City,CA,90232,34.02445575,-118.39621940
Anytime Spritz,"Sticky Rice, Echo Park","1801 Sunset Blvd, Los Angeles, CA 90026",Los Angeles,CA,90026,34.07785558,-118.25941194
Anytime Spritz,Surfrider Hotel Malibu,"23033 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.03715577,-118.67791944
Anytime Spritz,TalkTales Entertainment,"555 N Spring St Ste 107, Los Angeles, CA 90012",Los Angeles,CA,90012,34.05911400,-118.23848100
Anytime Spritz,The Black Cat,"3909 Sunset Blvd, Los Angeles, CA 90029",Los Angeles,CA,90029,34.09225586,-118.27961938
Anytime Spritz,The Canal Market,"600 Mildred Ave, Venice, CA 90291",Venice,CA,90291,33.98695568,-118.46471941
Anytime Spritz,The Edendale,"2838 Rowena Ave. Los Angeles, CA 90039",,,,34.10757100,-118.26561800
Anytime Spritz,The Grant,"3515 Eagle Rock Blvd, Los Angeles, CA 90065",Los Angeles,CA,90065,34.11634000,-118.23578000
Anytime Spritz,The Hotel June,"8639 Lincoln Blvd, Los Angeles, CA 90045",Los Angeles,CA,90045,33.95865564,-118.41871940
Anytime Spritz,The Liquor Fountain,"5203 Fountain Ave, Los Angeles, CA 90029",Los Angeles,CA,90029,34.09545586,-118.30251938
Anytime Spritz,The Oaks Gourmet Market & Cafe,"1915 N Bronson Ave, Los Angeles, CA 90068",Los Angeles,CA,90068,34.10545588,-118.31821939
Anytime Spritz,The Wine Country,"2301 Redondo Ave, Signal Hill, CA 90755",Signal Hill,CA,90755,33.79875538,-118.15219358
Anytime Spritz,Total Wine - Long Beach #1113,"7400 Carson Blvd, Long Beach, CA 90808",Long Beach,CA,90808,33.82705542,-118.08661935
Anytime Spritz,Total Wine - W. Hollywood #1141,"1130 N La Brea Ave West Hollywood, CA, 90038",,,,34.09155586,-118.34321939
Anytime Spritz,Total Wine & More (Brea),"471 S Associated Rd, Brea, CA 92821",Brea,CA,92821,33.91205556,-117.88211931
Anytime Spritz,Total Wine and Spirits- Redondo Beach,"1505 Hawthorne Blvd, Redondo Beach, CA 90278",Redondo Beach,CA,90278,33.86816599,-118.35426204
Anytime Spritz,Vendome (Toluca Lake),"0600 Riverside Dr, North Hollywood, CA 91602",North Hollywood,CA,91602,34.15211433,-118.35327088
Anytime Spritz,Vicente Foods,"12027 San Vicente Blvd, Los Angeles, CA 90049",Los Angeles,CA,90049,34.05255579,-118.47371941
Ysidro,99 Ranch Market #1257,"400 S. Baldwin Ave, Arcadia, CA 91007",Arcadia,CA,91007,34.13536250,-118.05244144
Ysidro,99 Ranch Market #5,"651 N. Euclid St., Anaheim, CA 92801",Anaheim,CA,92801,33.84104018,-117.94341543
Ysidro,Alta Dena Beverage,"1850 Allen Avenue, Pasadena CA 91104",,,,34.17785600,-118.11191935
Ysidro,Blüm Wine and Flowers,"150 Pacific Coast Highway, El Segundo, CA 90245",El Segundo,CA,90245,33.91472700,-118.39546999
Ysidro,Boccato's Groceries,3127 Manhattan Ave Hermosa Beach CA 90254,,,,33.87556201,-118.40622598
Ysidro,Botanica,1620 Silver Lake Blvd,,,,34.08847020,-118.26884460
